Energy / Extraversion,Agreeableness,Conscientiousness,Emotional Instability,Intellect / Openness
-6.37905225659,-5.82435206036,-5.26965186414,-6.10170215848,-6.93375245282
-6.93375245282,-7.21110255093,-6.93375245282,-6.6564023547,-6.93375245282
1.10940039245,-0.832050294338,2.77350098113,-1.94145068679,2.77350098113
2.77350098113,2.49615088301,2.77350098113,-3.60555127546,0.0
3.88290137358,1.66410058868,-0.554700196225,-3.60555127546,-1.38675049056
-1.10940039245,0.832050294338,2.49615088301,-1.38675049056,1.94145068679
3.60555127546,3.05085107924,-0.277350098113,0.554700196225,0.554700196225
-0.277350098113,0.554700196225,1.94145068679,-0.832050294338,2.2188007849
1.94145068679,0.832050294338,-1.38675049056,-1.94145068679,-1.38675049056
-1.38675049056,0.277350098113,-0.832050294338,-1.10940039245,-4.4376015698
4.4376015698,0.277350098113,-3.32820117735,-2.77350098113,-1.94145068679
-0.277350098113,0.277350098113,0.277350098113,-5.26965186414,-1.94145068679
1.38675049056,2.49615088301,4.4376015698,-3.32820117735,4.99230176603
-2.49615088301,0.832050294338,1.38675049056,-3.88290137358,0.832050294338
1.38675049056,-0.277350098113,-2.49615088301,0.277350098113,0.832050294338
0.554700196225,0.832050294338,-2.2188007849,-1.38675049056,-4.99230176603
2.49615088301,3.05085107924,-0.554700196225,-4.4376015698,1.66410058868
1.10940039245,3.05085107924,1.94145068679,2.2188007849,0.0
1.66410058868,2.2188007849,3.60555127546,-0.554700196225,4.71495166791
1.94145068679,3.05085107924,2.2188007849,-3.32820117735,-0.554700196225
3.05085107924,1.94145068679,1.66410058868,0.277350098113,0.832050294338
3.88290137358,4.71495166791,-0.554700196225,-2.77350098113,1.66410058868
1.66410058868,-1.38675049056,0.554700196225,-4.99230176603,-1.66410058868
4.16025147169,3.88290137358,2.2188007849,-1.94145068679,2.49615088301
3.60555127546,2.77350098113,0.554700196225,0.554700196225,2.2188007849
0.554700196225,-1.38675049056,0.277350098113,-3.05085107924,-1.10940039245
3.32820117735,0.277350098113,-1.10940039245,-4.16025147169,-0.832050294338
0.0,2.2188007849,-0.832050294338,-3.60555127546,-0.832050294338
